Id,Title,Episodes,Year,Channel,Company,Technique,IMDb,Users
26,The Adventures of Batman,17.0,1968-1969,CBS,Filmation,Traditional,7.3,77%
27,The Adventures of Chico and Guapo,5.0,2006,MTV2,MTV Animation,Flash,5.9,73%
29,The Adventures of Gulliver,17.0,1968-1969,ABC,Hanna-Barbera,Traditional,7.0,89%
30,The Adventures of Hyperman,13.0,1995-1996,CBS,Hyperion Animation,Traditional,7.0,72%
31,The Adventures of Jimmy Neutron: Boy Genius,61.0,2002-2006,Nickelodeon,O EntertainmentDNA ProductionsNickelodeon Animation Studio,CGI,6.7,86%
32,The Adventures of Kid Danger,13.0,2018,Nickelodeon,Schneider's BakeryNickelodeon Animation Studio,Flash,2.6,80%
34,The Adventures of OG Sherlock Kush,20.0,2015-2016,Fox,ADHD Studios,Traditional,7.5,92%
35,The Adventures of Paddy the Pelican,6.0,1950,ABC,Tempe-Toons,Traditional,1.6,25%
36,Adventures of Pow Wow,45.0,1956-1957,Syndication,Tempe-Toons,Traditional,4.7,74%
37,The Adventures of Puss in Boots,78.0,2015-2018,Netflix,DreamWorks Animation Television,CGI,6.5,79%
38,The Adventures of Raggedy Ann and Andy,13.0,1988,CBS,CBS Entertainment Productions,Traditional,7.2,92%
39,The Adventures of Rocky and Bullwinkle,26.0,2018-2019,Amazon Prime Video,DreamWorks Animation Television,Flash,4.3,69%
40,The Adventures of Rocky and Bullwinkle and Friends,163.0,1959-1964,ABCNBC,Jay Ward Productions,Traditional,7.8,92%
41,Adventures of Sonic the Hedgehog,65.0,1992-1996,Syndication,DIC Entertainment,Traditional,6.3,77%
42,The Adventures of Spunky and Tadpole,150.0,1958-1961,Syndication,Beverly Hills Productions,Traditional,6.2,92%
43,The Adventures of Superboy,34.0,1966-1968,CBS,Filmation,Traditional,6.0,62%
44,Adventures of the Gummi Bears,65.0,1985-1991,NBC,Walt Disney Television Animation,Traditional,7.5,90%
45,AEon Flux,16.0,1991-1995,MTV,MTV Animation,Traditional,5.4,62%
46,Agent Elvis,10.0,2023,Netflix,Sony Pictures Animation,Traditional,6.8,84%
47,Alabama Jackson,7.0,2022,YouTube,Stoopid Buddy Stoodios,Stop-Motion,8.4,89%
48,Aladdin,86.0,1994-1995,CBS,Walt Disney Television Animation,Traditional,5.8,78%
49,ALF Tales,21.0,1988-1989,NBC,DIC Entertainment,Traditional,6.2,84%
50,ALF: The Animated Series,26.0,1987-1989,NBC,DIC Entertainment,Traditional,6.0,85%
51,Alice's Wonderland Bakery,34.0,2022-present,Disney,Disney Television Animation,CGI,6.3,61%
52,Alien: Isolation - The Digital Series,7.0,2019,IGN,Reverse Engineering Studios,CGI,6.2,74%
53,Alien News Desk,12.0,2019,Syfy,Broadway Video,Traditional,6.5,76%
54,All Dogs Go to Heaven: The Series,40.0,1996-1998,Fox,MGM Animation,Traditional,6.5,85%
55,All Grown Up!,55.0,2003-2008,Nickelodeon,Klasky CsupoNickelodeon Animation Studio,Traditional,5.5,88%
56,All Hail King Julien,78.0,2014-2017,Netflix,DreamWorks Animation Television,CGI,7.1,83%
57,The All New Popeye Hour,336.0,1978-1983,CBS,Hanna-Barbera,Traditional,7.0,83%
58,The All-New Dennis the Menace,13.0,1993,CBS,DIC Animation City,Traditional,6.6,94%
59,The All-New Super Friends Hour,15.0,1977-1978,ANC,Hanna-Barbera,Traditional,7.2,92%
60,Allen Gregory,7.0,2011,Fox,Chernin Entertainment,Flash,4.2,39%
61,Alvin and the Chipmunks (1983),102.0,1983-1990,NBC,Bagdasarian Productions,Traditional,6.6,89%
62,The Alvin Show,26.0,1961-1962,Syndication,Bagdasarian Productions,Traditional,7.2,89%
63,The Amazing Chan and the Chan Clan,16.0,1972,CBS,Hanna-Barbera,Traditional,6.2,79%
64,American Dad!,352.0,2005-present,Fox,Fuzzy Door Productions,Traditional,7.4,88%
65,American Dragon: Jake Long,52.0,2005-2007,Disney,Disney Television Animation,Traditional,6.6,94%
66,American Heroes & Legends,9.0,1992-1993,Showtime,Rabbit Ears Productions,Traditional,4.2,65%
67,Amphibia,58.0,2019-2022,Disney,Disney Television Animation,Traditional,8.3,89%
68,The Angry Beavers,62.0,1997-2001,Nickelodeon,Nickelodeon Animation Studio,Traditional,7.2,93%
69,Animals,30.0,2016-2018,HBO,Duplass Brothers Productions,Traditional,7.3,84%
70,Animaniacs (1993),99.0,1993-1998,Fox,Warner Bros. Animation,Traditional,7.9,94%
71,Animaniacs (2020),36.0,2020-2023,Hulu,Warner Bros. Animation,Traditional,7.7,87%
72,Ant-Man,6.0,2017,Disney,Marvel Animation,Traditional,6.4,59%
73,Apollo Gauntlet,6.0,2017,Adult Swim,6 Point Harness,Flash,6.6,73%
74,Apple & Onion,76.0,2018-2021,Cartoon Network,Cartoon Network Studios,Flash,6.3,82%
75,Aqua Teen Hunger Force,139.0,2000-present,Adult Swim,Williams Street,Flash,7.7,90%
76,Aquadonk Side Pieces,10.0,2022,YouTube,William Street,Flash,8.1,92%
77,Aquaman,36.0,1967-1970,CBS,Filmation,Traditional,6.6,70%
78,Aquaman: King of Atlantis,3.0,2021,HBO,Warner Bros. AnimationDC Entertainment,Traditional,6.2,68%
79,Arabian Knights,18.0,1968-1969,NBC,Hanna-Barbera,Traditional,7.1,89%
80,Archer,145.0,2009-2023,Fox,Floyd County Productions,Flash,8.6,91%
81,Archibald's Next Big Thing,50.0,2019-2021,Netflix,DreamWorks Animation Television,Flash,7.6,59%
82,The Archie Show,17.0,1968-1969,CBS,Filmation,Traditional,6.9,92%
83,Archie's TV Funnies,16.0,1971-1973,CBS,Filmation,Traditional,7.7,91%
84,Ask the StoryBots,22.0,2016-2019,Netflix,JibJab Bros. Studios,CGI/Flash/Stop-Motion/Live-Action,8.5,83%
85,Assy McGee,20.0,2006-2008,Adult Swim,Williams Street,Flash,5.8,78%
86,Astroblast!,52.0,2014-2015,Sprout,Soup2Nuts,Flash,6.7,78%
87,The Astronut Show,19.0,1965-1967,Syndication,Terrytoons,Traditional,7.9,84%
88,Attack of the Killer Tomatoes,21.0,1990-1991,Fox,Marvel Productions,Traditional,4.6,65%
89,Atom Ant,26.0,1965-1968,NBC,Hanna-Barbera,Traditional,6.4,74%
90,The Atom Ant/Secret Squirrel Show,26.0,1965-1967,NBC,Hanna-Barbera,Traditional,6.9,94%
91,Augie Doggie and Doggie Daddy,45.0,1959-1962,Syndication,Hanna-Barbera,Traditional,6.3,91%
92,Auto-B-Good,63.0,2005-2006,Syndication,Wet Cement ProductionsGold King Media,CGI,7.9,87%
93,Avatar: The Last Airbender,61.0,2005-2008,Nickelodeon,Nickelodeon Animation Studios,Traditional,9.3,96%
94,Avengers Assemble,127.0,2013-2019,Disney,Marvel Animation,Traditional,7.0,72%
95,The Avengers: Earth's Mightiest Heroes,52.0,2010-2011,Disney,Marvel Animation,Traditional,8.3,80%
96,The Awesomes,30.0,2013-2015,Hulu,Bento Box Entertainment,Traditional,7.3,57%
97,Axe Cop,22.0,2013-2015,Fox,ADHD Studios,Traditional,7.3,73%
98,Ace Ventura: Pet Detective,41.0,1995-2000,CBSNickelodeon,Nelvana,Traditional,6.9,87%
99,Action Man (2000),26.0,2000-2001,Fox,Saban Entertainment,CGI,6.4,93%
100,Action Pack,17.0,2022,Netflix,OddBot Inc.,CGI,6.2,53%
101,Adventure Beast,12.0,2021,Netflix,Mission Control Media,Flash,5.4,62%
102,The Adventures of Chuck and Friends,39.0,2010-2012,The Hub,Hasbro Studios,CGI,5.4,71%
103,The Adventures of Don Coyote and Sancho Panda,26.0,1990-1991,Syndication,Hanna-Barbera,Traditional,7.2,72%
104,The Adventures of Napkin Man!,60.0,2013-2017,CBC Kids,Little Airplane Productions,Flash/Live-Action,7.9,77%
105,The Adventures of Sam & Max: Freelance Police,13.0,1997-1998,Fox,Nelvana,Traditional,7.7,90%
106,The Adventures of Super Mario Bros. 3,13.0,1990,NBC,DIC Entertainment,Traditional,7.0,89%
107,Alien Racers,26.0,2005-2006,Fox,SD Entertainment,CGI,6.9,93%
108,Alienators: Evolution Continues,26.0,2001-2002,Fox,"DIC Entertainment, L.P.",Traditional,5.4,87%
109,Alma's Way,40.0,2021-present,PBS Kids,Fred Rogers Productions,Flash,8.1,79%
110,Alvin and the Chipmunks (2015),130.0,2015-2023,Nickelodeon,Bagdasarian Productions,CGI,4.5,78%
111,The Amazing Colossal Adventures of WordGirl,26.0,2006-2007,PBS Kids Go!,Soup2Nuts,Flash,7.1,84%
112,The Amazing World of Gumball,240.0,2011-present,Cartoon Network,Cartoon Network Development Studio Europe,CGI/Flash/Stop-motion/Traditional,8.3,95%
114,Angela Anaconda,65.0,1999-2001,Fox,C.O.R.E. Digital Pictures,Flash,4.6,41%
115,Angelina Ballerina: The Next Steps,40.0,2009-2010,PBS Kids,SD Entertainment,CGI,4.7,90%
116,Angry Birds: Summer Madness,36.0,2022,Netflix,Netflix Animation,Flash,5.9,64%
117,Animalia,40.0,2007-2008,PBS Kids Go!,PorchLight Entertainment,CGI,6.1,89%
118,Arcane,9.0,2021-present,Netflix,Riot Games,CGI,9.0,96%
119,Archie's Weird Mysteries,40.0,1999-2000,Pax,DIC Entertainment,Traditional,7.3,93%
121,Arthur,253.0,1996-2022,PBS Kids,WGBH,"Traditional (Seasons 1-15, 20-25)
Cel (Seasons 1-3)
Digital ink-and-paint (Seasons 4-15, 20-25)
Flash (Seasons 16-25)
Adobe Flash (Seasons 16-19)
Toon Boom Harmony (Seasons 20-25)",7.4,86%
122,As Told by Ginger,52.0,2000-2006,Nickelodeon,Klasky CsupoNickelodeon Animation Studio,Traditional,6.9,92%
123,The Avengers: United They Stand,13.0,1999-2000,Fox,Saban Entertainment,Traditional,5.3,53%
125,Baby Blues,13.0,2000-2002,The WB,Split the Difference Productions,Traditional,7.0,72%
126,The Baby Huey Show,26.0,1994-1995,Syndication,Harvey Entertainment,Traditional,7.2,94%
127,Baby Looney Tunes,53.0,2001-2006,Kids' WB (season 1)Cartoon Network (season 2),Warner Bros. Animation,Traditional,6.1,93%
128,Baggy Pants and the Nitwits,13.0,1977,NBC,DePatie-Freleng Enterprises,Traditional,7.2,91%
129,Bailey's Comets,32.0,1973-1974,CBS,DePatie-Freleng Enterprises,Traditional,6.8,81%
130,Ballmastrz: 9009,20.0,2018-2020,Adult Swim,Williams Street,Flash,6.7,70%
131,Baman Piderman,27.0,2009-present,YouTube,Mondo Media,Flash,8.2,89%
132,The Banana Splits,36.0,1968-1970,NBC,Hanna-Barbera,Traditional/Live-Action,7.3,91%
134,The Barkleys,13.0,1972,NBC,DePatie-Freleng Enterprises,Traditional,5.6,86%
135,Batfink,100.0,1966-1967,Syndication,Hal Seeger Productions,Traditional,7.1,90%
136,The Batman,65.0,2004-2008,Kids' WB,Warner Bros. Animation,Traditional,7.4,87%
137,Batman Beyond,52.0,1999-2001,Kids' WB,Warner Bros. Animation,Traditional,8.1,93%
138,The Batman/Superman Hour,34.0,1968-1969,CBS,Filmation,Traditional,6.9,88%
139,The Batman/Tarzan Adventure Hour,52.0,1977-1978,CBS,Filmation,Traditional,6.8,83%
140,Batman: The Animated Series,85.0,1992-1995,Fox,Warner Bros. Animation,Traditional,9.0,92%
141,Batman: The Brave and the Bold,65.0,2008-2011,Cartoon Network,Warner Bros. AnimationDC Entertainment,Traditional,7.3,86%
142,Battle Kitty,9.0,2022,Netflix,Netflix Animation,CGI,6.3,66%
143,BattleTech: The Animated Series,13.0,1994,Syndication,Saban Entertainment,Traditional,6.5,94%
144,Batwheels,27.0,2022-present,Cartoonito,Warner Bros. AnimationDC Entertainment,CGI,6.3,70%
145,Baymax!,6.0,2022,Disney,Walt Disney Animation Studios,CGI,7.2,79%
146,The Beagles,36.0,1966-1967,CBS,Total Television,Traditional,6.2,89%
147,"The BeatBuds, Let's Jam!",10.0,2021,Nickelodeon,Nickelodeon Animation Studio,Flash,6.9,89%
148,Beavis and Butt-Head,270.0,1993-present,MTVParamount+,MTV Animation,Traditional,8.5,88%
149,Beethoven,13.0,1994,CBS,Universal Cartoon Studios,Traditional,5.2,65%
150,Ben 10 (2005),52.0,2005-2008,Cartoon Network,Cartoon Network Studios,Traditional,7.5,86%
151,Ben 10 (2016),178.0,2017-2021,Cartoon Network,Cartoon Network Studios,Traditional,2.8,52%
152,Ben 10: Alien Force,46.0,2008-2010,Cartoon Network,Cartoon Network Studios,Traditional,7.4,92%
153,Ben 10: Omniverse,80.0,2012-2014,Cartoon Network,Cartoon Network Studios,Traditional,6.3,87%
154,Ben 10: Ultimate Alien,52.0,2010-2012,Cartoon Network,Cartoon Network Studios,Traditional,7.7,93%
155,Bert and Ernie's Great Adventures,52.0,2008-2010,PBS Kids,Sesame Workshop,Stop-Motion,8.5,94%
156,Betsy's Kindergarten Adventures,26.0,2008,PBS Kids,Polkadot Productions,Traditional,5.8,55%
157,Between the Lions,130.0,2000-2010,PBS Kids,WGBH,Traditional/Live-Action/Flash/CGI,7.1,95%
158,Bibleman (revival series),26.0,2016-2020,Direct-to-Video,Pamplin Entertainment,Traditional,2.8,69%
159,Big Baby,7.0,2008,Cartoon Network,Cartoon Network Studios,Flash,6.6,78%
160,Big Bag,39.0,1996-1998,Cartoon Network,Children's Television Workshop,Traditional/Live-Action,7.0,83%
161,Big City Greens,80.0,2018-present,Disney,Disney Television Animation,Traditional,7.5,89%
162,Big Guy and Rusty the Boy Robot,26.0,1999-2001,Fox,Adelaide Productions,Traditional,7.6,89%
163,Big Hero 6: The Series,56.0,2017-2021,Disney,Disney Television AnimationMan of Action Entertainment,Traditional,7.2,82%
164,Big Mouth,61.0,2017-present,Netflix,"Titmouse, Inc.",Traditional,7.8,95%
165,Big Nate,36.0,2022-present,Paramount+,Nickelodeon Animation Studio,CGI,7.0,60%
167,Biker Mice from Mars (1993),65.0,1993-1996,Syndication,New World Animation,Traditional,7.0,94%
168,Biker Mice from Mars (2006),28.0,2006-2007,4Kids TV,Brentwood Television Funnies,Traditional,6.3,92%
169,Birdgirl,12.0,2021-2022,Adult Swim,Williams Street,Flash,6.0,70%
170,Birdman and the Galaxy Trio,20.0,1967-1968,NBC,Hanna-Barbera,Traditional,6.7,87%
171,The Biskitts,26.0,1983-1984,CBS,Hanna-Barbera,Traditional,7.0,92%
172,Black Dynamite,20.0,2012-2015,Adult Swim,Williams Street,Traditional,7.4,89%
173,Black Panther,6.0,2010,BET,Marvel Animation,Traditional,7.2,75%
174,Blast-Off Buzzard,13.0,1977,NBC,Hanna-Barbera,Traditional,5.2,46%
175,Bless the Harts,34.0,2019-2021,Fox,"Titmouse, Inc.",Flash,5.8,56%
176,Blood of Zeus,8.0,2020,Netflix,Powerhouse Animation Studios,Traditional,7.5,84%
178,Blue's Clues,143.0,1996-2006,Nickelodeon,Nickelodeon Animation Studio,Flash/Live-Action,6.9,86%
179,Bob's Burgers,260.0,2011-present,Fox,Bento Box Entertainment,Flash,8.2,86%
180,The Bob Clampett Show,26.0,2000-2001,Cartoon Network,Warner Bros. Cartoons,Traditional,8.1,84%
181,BoJack Horseman,77.0,2014-2020,Netflix,ShadowMachine,Flash,8.8,95%
182,Bonkers,65.0,1993-1994,Disney,Walt Disney Television Animation,Traditional,6.7,81%
183,The Boondocks,55.0,2005-2014,Adult Swim,Adelaide Productions,Traditional,8.5,94%
184,Bordertown,13.0,2016,Fox,Fuzzy Door Productions,Traditional,7.5,89%
185,The Boss Baby: Back in Business,49.0,2018-2020,Netflix,DreamWorks Animation Television,CGI,6.5,79%
186,The Boss Baby: Back in the Crib,28.0,2022-2023,Netflix,DreamWorks Animation Television,CGI,6.1,70%
187,Bossy Bear,17.0,2023-present,Nick Jr.,Renegade Animation,Flash,8.3,70%
188,The Boys Presents: Diabolical,8.0,2022,Amazon Prime Video,Amazon Studios,Traditional,6.9,66%
189,Bozo: The World's Most Famous Clown,157.0,1958-1962,Syndication,Larry Harmon Pictures,Traditional,7.8,89%
190,Braingames,6.0,1983-1985,HBO,Eliot Noyes Productions,Traditional/Live-Action,8.5,98%
191,Brad Neely's Harg Nallin' Sclopio Peepio,10.0,2016,Adult Swim,Williams Street,Flash,6.2,67%
192,The Brady Kids,22.0,1972-1973,ABC,Filmation,Traditional,5.6,85%
193,The Brak Show,28.0,2000-2003,Adult Swim,Williams Street,Flash,7.1,87%
194,Brandy & Mr. Whiskers,39.0,2004-2006,Disney,Walt Disney Television Animation,Traditional,6.3,96%
195,Brats of the Lost Nebula,39.0,1998-1999,Kids' WB,The Jim Henson Company,CGI/Live-Action,6.9,52%
196,Bratz,40.0,2005-2008,Fox,Mike Young Productions,CGI,3.7,96%
197,BraveStarr,65.0,1987-1988,Syndication,Filmation,Traditional,7.0,93%
198,The Bremen Avenue Experience,5.0,2008,Cartoon Network,Cartoon Network Studios,Flash,8.8,84%
199,Breezly and Sneezly,23.0,1964-1965,Syndication,Hanna-Barbera,Traditional,6.2,10%
200,Brickleberry,36.0,2012-2015,Comedy Central,Damn! Show Productions,Flash,7.3,89%
201,Britannica's Tales Around the World,6.0,1991-1993,Direct to video,Encyclopædia Britannica Films,Traditional,1.9,25%
202,Bucky and Pepito,36.0,1959-1960,Syndication,Trans-Artists Productions,Traditional,2.8,39%
203,Bucky O'Hare and the Toad Wars!,13.0,1991,Syndication,Sunbow Entertainment,Traditional,7.3,95%
204,Buddy Thunderstruck,12.0,2017,Netflix,Stoopid Buddy StoodiosAmerican Greetings,Stop-Motion,7.8,68%
205,The Bug Diaries,12.0,2019-2020,Amazon Prime Video,Amazon Studios,Flash,6.0,48%
206,Bugs Bunny Builders,30.0,2022-present,Cartoonito,Warner Bros. Animation,Traditional,8.1,71%
207,The Bugs Bunny Show,684.0,1960-2000,"ABC
CBS",Warner Bros. Cartoons,Traditional,8.6,95%
208,Bugs 'n' Daffy,130.0,1995-1996,Kids' WB,Warner Bros. Animation,Traditional,8.1,91%
209,Bugtime Adventures,13.0,2004-2007,TBN,Lightning Bug Flix,Traditional,6.5,90%
210,Bump in the Night,26.0,1994-1995,ABC,Greengrass Productions,Stop-Motion,8.0,92%
211,Bunnicula,104.0,2016-2018,Cartoon NetworkBoomerang,Warner Bros. Animation,Flash,7.2,89%
212,Butch Cassidy and the Sundance Kids,13.0,1973,NBC,Hanna-Barbera,Traditional,7.1,73%
213,Buzz Lightyear of Star Command,62.0,2000-2001,UPNABC,Walt Disney Television AnimationPixar Animation Studios,Traditional,6.7,95%
214,The Buzz on Maggie,20.0,2005-2006,Disney,Walt Disney Television Animation,Flash,5.6,89%
216,Back at the Barnyard,52.0,2007-2011,Nickelodeon,Omation Animation StudioNickelodeon Animation Studio,CGI,8.7,87%
217,Back to the Future,26.0,1991-1992,CBS,Universal Animation Studios,Traditional,6.4,92%
218,The Backyardigans,130.0,2004-2013,Nickelodeon,Nickelodeon Animation Studio,CGI,7.1,92%
219,Bad Dog,40.0,1998-2000,Fox,Saban Entertainment,Traditional,5.0,77%
221,Barbie: It Takes Two,26.0,2022-present,Netflix,Mattel Television,CGI,6.8,66%
222,Barbie: Life in the Dreamhouse,75.0,2012-2018,YouTube,Mattel Television,CGI,7.5,85%
223,Barnyard Commandos,4.0,1990,Syndication,Fred Wolf Films,Traditional,7.5,85%
224,Battle of the Planets,85.0,1978-1980,Syndication,Sandy Frank Entertainment,Traditional,7.5,96%
225,Beast Machines: Transformers,26.0,1999-2000,Fox,Hasbro,CGI,6.7,74%
226,Beast Wars: Transformers,52.0,1996-1999,Syndication,Hasbro,CGI,8.1,89%
228,Bee and PuppyCat: Lazy in Space,16.0,2022,Netflix,Frederator Studios,Traditional,8.5,98%
229,Beetlejuice,94.0,1989-1991,ABC,Nelvana,Traditional,7.5,82%
230,The Berenstain Bears,52.0,1985-1987,CBS,Hanna-Barbera,Traditional,6.9,85%
231,Beverly Hills Teens,65.0,1987,Syndication,DIC Entertainment,Traditional,6.5,96%
232,Bigfoot Presents: Meteor and the Mighty Monster Trucks,26.0,2006-2008,Discovery Kids,Endgame Entertainment,CGI,5.5,88%
233,Bill & Ted's Excellent Adventures,21.0,1990-1991,CBS,Hanna-Barbera,Traditional,6.9,90%
234,Bionic Six,85.0,1987,Syndication,MCA TV,Traditional,7.3,96%
235,Blade Runner: Black Lotus,13.0,2021-2022,Adult Swim,Alcon Entertainment,CGI,6.3,72%
236,Blackstar,13.0,1981,CBS,Filmation,Traditional,6.7,96%
237,Blaster's Universe,13.0,1999-2000,CBS,Knowledge Adventure,Traditional,7.4,88%
238,Blaze and the Monster Machines,125.0,2014-present,Nickelodeon,Nickelodeon Animation Studio,CGI,5.7,74%
239,Blazing Team: Masters of Yo Kwon Do,42.0,2015-2017,Discovery Family,Hasbro Studios,Traditional,6.9,80%
240,Blippi Wonders,28.0,2021-present,YouTube,Moonbug Entertainment,CGI,4.7,60%
241,Blue Eye Samurai,8.0,2023-present,Netflix,3 Arts Entertainment,Traditional,8.8,92%
242,Blue's Clues & You!,69.0,2019-present,Nickelodeon,Nickelodeon Animation Studio,CGI/Live-Action,6.8,81%
243,"Bob the Builder: Ready, Steady, Build!",44.0,2010-2011,PBS Kids,SD Entertainment,CGI,5.6,79%
244,Bobby's World,81.0,1990-1998,Fox,Film Roman,Traditional,7.2,90%
245,Bounty Hunters,13.0,2013,CMT,Parallel Entertainment,Flash,2.0,55%
246,Boy Girl Dog Cat Mouse Cheese,104.0,2019-present,CBBC,Cloudco Entertainment,Flash,6.3,84%
247,The Bravest Knight,13.0,2019,Hulu,Big Bad Boo,Flash,6.9,60%
248,Bravest Warriors,82.0,2012-2018,YouTubeVRV,Frederator Studios,Traditional,8.1,70%
249,Breadwinners,52.0,2014-2016,Nickelodeon,Nickelodeon Animation Studio,Flash,2.8,72%
250,The Brothers Flub,26.0,1999,Nickelodeon,Sunbow Entertainment,Traditional,4.0,65%
251,The Brothers Grunt,42.0,1994-1995,MTV,a.k.a. Cartoon,Traditional,3.0,42%
252,Bubble Guppies,125.0,2011-present,Nickelodeon,Nickelodeon Animation Studio,CGI,6.3,84%
253,A Bunch of Munsch,7.0,1991-1992,Showtime,CINAR,Traditional,7.3,95%
254,Bunsen Is a Beast,26.0,2017-2018,Nickelodeon,Billionfold Inc.Nickelodeon Animation Studio,Flash,4.0,61%
255,Butt-Ugly Martians,26.0,2001-2003,Nickelodeon,Mike Young Productions,CGI,3.4,52%
256,Butterbean's Cafe,60.0,2018-2020,Nickelodeon,Nickelodeon Animation Studio,CGI,6.6,83%
257,Cake,47.0,2019-2021,Fox,SLQAR,Flash/Live-Action,6.5,49%
258,The California Raisin Show,13.0,1989,CBS,Will Vinton Productions,Stop-Motion,6.1,86%
260,Calling Cat-22,5.0,2008,Cartoon Network,Cartoon Network Studios,Flash,7.1,94%
261,Calvin and the Colonel,26.0,"1961-1962, 1964-1965",ABC,Kayro Productions,Traditional,6.6,88%
262,Camp Camp,60.0,2016-present,YouTube,Rooster Teeth,Flash,8.0,92%
263,Camp Lazlo,61.0,2005-2008,Cartoon Network,Cartoon Network Studios,Traditional,6.4,92%
264,Camp WWE,10.0,2016-2018,WWE Network,Stoopid Buddy Stoodios,Stop-Motion,6.4,88%
265,Can You Teach My Alligator Manners?,20.0,2008-2010,Disney,OddBot Inc.,Flash,7.8,94%
266,Capitol Critters,13.0,1992-1996,CBS,Hanna-Barbera,Traditional,6.5,94%
267,Capt'n Sailorbird,190.0,1959-1960,Syndication,Magic Screen Pictures Inc.,Traditional,5.4,68%
268,Captain Caveman and the Teen Angels,20.0,1978-1979,ABC,Hanna-Barbera,Traditional,6.4,89%
269,Captain Fall,10.0,2023,Netflix,Netflix Animation,Traditional,7.0,91%
270,Captain Planet and the Planeteers,113.0,1990-1996,TBS,DIC EntertainmentHanna-Barbera,Traditional,6.7,89%
271,Captain Simian & the Space Monkeys,26.0,1996-1997,Syndication,"Monkeyshine Productions, Inc.",Traditional,7.6,93%
272,Capt'n Sailorbird,190.0,1959,Syndication,Magic Screen Pictures Inc.,Traditional,4.2,64%
273,Care Bears & Cousins,12.0,2015-2016,Netflix,Splash EntertainmentAmerican Greetings,CGI,6.9,74%
274,Care Bears: Adventures in Care-a-lot,26.0,2007-2008,CBS,SD Entertainment,Traditional,5.5,91%
275,Care Bears: Welcome to Care-a-Lot,26.0,2012,The Hub,MoonScoop EntertainmentAmerican Greetings,CGI,5.4,58%
276,Cars on the Road,9.0,2022,Disney,Pixar Animation Studios,CGI,6.9,72%
277,Cars Toons,15.0,2008-2014,Disney,Pixar Animation Studios,CGI,6.8,89%
280,The Casagrandes,70.0,2019-2022,Nickelodeon,Nickelodeon Animation Studio,Flash,5.8,83%
281,Casper and the Angels,13.0,1979,NBC,Hanna-Barbera,Traditional,5.7,86%
282,Castlevania,32.0,2017-2021,Netflix,Frederator Studios,Traditional,8.3,90%
283,Castlevania: Nocturne,8.0,2023-present,Netflix,Frederator Studios,Traditional,7.4,80%
285,CatDog,68.0,1998-2005,Nickelodeon,"Peter Hannan Productions
Nickelodeon Animation Studio",Traditional,6.5,89%
286,Catscratch,20.0,2005-2007,Nickelodeon,Nickelodeon Animation Studio,Traditional,6.7,95%
288,Cattanooga Cats,17.0,1969-1971,ABC,Hanna-Barbera,Traditional,7.2,95%
289,Cave Kids,8.0,1996,Syndication,Hanna-Barbera,Traditional,7.7,72%
290,CB Bears,13.0,1977,NBC,Hanna-Barbera,Traditional,5.7,88%
